学校名称_中文,学校名称_英文,省份,排名,学校地址,学校网址
中国地质大学（武汉）,China University of Geosciences (Wuhan),湖北,59,"湖北省洪山区鲁磨路388号
", https://baike.baidu.com/item/%E4%B8%AD%E5%9B%BD%E5%9C%B0%E8%B4%A8%E5%A4%A7%E5%AD%A6%EF%BC%88%E6%AD%A6%E6%B1%89%EF%BC%89
江南大学,Jiangnan University,江苏,60,"江苏省无锡市滨湖区蠡湖大道1800号
",江南大学 https://baike.baidu.com/item/%E6%B1%9F%E5%8D%97%E5%A4%A7%E5%AD%A6
河海大学,Hohai University,江苏,61,"江苏省南京市西康路1号 
",https://baike.baidu.com/item/%E6%B2%B3%E6%B5%B7%E5%A4%A7%E5%AD%A6
中国海洋大学,Ocean University of China,山东,62,"山东省青岛市松岭路238号
",https://baike.baidu.com/item/%E4%B8%AD%E5%9B%BD%E6%B5%B7%E6%B4%8B%E5%A4%A7%E5%AD%A6
北京工业大学,Beijing University of Technology,北京,63,"北京市朝阳区平乐园100号
",https://baike.baidu.com/item/%E5%8C%97%E4%BA%AC%E5%B7%A5%E4%B8%9A%E5%A4%A7%E5%AD%A6
哈尔滨医科大学,Harbin Medical University,黑龙江,医5,"黑龙江省哈尔滨市南岗区保健路157号
",https://baike.baidu.com/item/%E5%93%88%E5%B0%94%E6%BB%A8%E5%8C%BB%E7%A7%91%E5%A4%A7%E5%AD%A6
北京化工大学,Beijing University of Chemical Technology,北京,64,"北京市朝阳区北三环东路15号
",https://baike.baidu.com/item/%E5%8C%97%E4%BA%AC%E5%8C%96%E5%B7%A5%E5%A4%A7%E5%AD%A6
西北大学,Northwest University,陕西,65,"陕西省西安市碑林区太白北路229号
",https://baike.baidu.com/item/%E8%A5%BF%E5%8C%97%E5%A4%A7%E5%AD%A6
西南财经大学,Southwestern University of Finance and Economics,四川,财4,"成都市光华村街55号
",https://baike.baidu.com/item/%E8%A5%BF%E5%8D%97%E8%B4%A2%E7%BB%8F%E5%A4%A7%E5%AD%A6
中国石油大学（华东）,China University of Petroleum (Huadong),山东,66,"山东省青岛市黄岛区长江西路66号
",https://baike.baidu.com/item/%E4%B8%AD%E5%9B%BD%E7%9F%B3%E6%B2%B9%E5%A4%A7%E5%AD%A6%EF%BC%88%E5%8D%8E%E4%B8%9C%EF%BC%89
陕西师范大学,Shaanxi Normal University,陕西,67,"陕西省西安市雁塔区长安南路199号
",https://baike.baidu.com/item/%E9%99%95%E8%A5%BF%E5%B8%88%E8%8C%83%E5%A4%A7%E5%AD%A6
天津医科大学,Tianjin Medical University,天津,医6,"天津市和平区气象台路22号
",https://baike.baidu.com/item/%E5%A4%A9%E6%B4%A5%E5%8C%BB%E7%A7%91%E5%A4%A7%E5%AD%A6
中南财经政法大学,Zhongnan University of Economics and Law,湖北,财5,"湖北省武汉市武昌区武珞路114号
",https://baike.baidu.com/item/%E4%B8%AD%E5%8D%97%E8%B4%A2%E7%BB%8F%E6%94%BF%E6%B3%95%E5%A4%A7%E5%AD%A6
深圳大学,Shenzhen University,广东,68,"广东省深圳市南山区南海大道3688号
",https://baike.baidu.com/item/%E6%B7%B1%E5%9C%B3%E5%A4%A7%E5%AD%A6
南昌大学,Nanchang University,江西,69,"南昌市红谷滩新区学府大道999号
",https://baike.baidu.com/item/%E5%8D%97%E6%98%8C%E5%A4%A7%E5%AD%A6
浙江工业大学,Zhejiang University of Technology,浙江,70,"浙江省杭州市拱墅区潮王路18号
",https://baike.baidu.com/item/%E6%B5%99%E6%B1%9F%E5%B7%A5%E4%B8%9A%E5%A4%A7%E5%AD%A6
